trait,time_step,t1,t2,t3,total
represent,0,-2.0282915442384351e-06,-0.00012575602335038028,-9.1251438440262216e-05,-3.6532876454356501e-05
represent,1,0.000177124161426694,-0.00058140113337354468,0.00012678887994106564,-0.00053106585188791627
represent,2,0.00027728853519985464,-0.0004562082591810856,3.9050665099807715e-06,-0.00018282479049121171
represent,3,0.00011741748317593719,-0.00031062604787050117,-6.2714562749349313e-05,-0.0001304940019452147
represent,4,0.00017994099206739028,-0.00058199657126002365,-9.7654522614760343e-05,-0.00030440105657787296
represent,5,-2.8001467846503209e-05,6.9514602740351566e-05,0.00014413877076964739,-0.00010262563587579902
represent,6,5.7510989524617766e-05,-0.00039285883611978089,3.034548080503841e-05,-0.00036569332740020151
represent,7,4.5735565359177227e-05,-0.00010619800907617119,9.2373248140520614e-05,-0.00015283569185751457
represent,8,6.182798966167641e-05,-0.00021577150457028369,-3.2161423289683726e-05,-0.00012178209161892357
represent,9,6.2509136093837216e-05,-4.9824335850760481e-05,9.935363131366444e-05,-8.6668831070587705e-05
represent,10,4.8699025429998475e-05,-0.00029757829304795114,-0.00011217704830110638,-0.00013670221931684631
represent,11,0.00025023139895326475,-0.00044746689792417267,-3.6410284186080754e-05,-0.00016082521478482715
represent,12,0.000147851930234754,-0.00034247365344932084,5.0741903374755441e-05,-0.00024536362658932227
represent,13,9.7572760500295856e-05,-0.00020322520012955108,-1.4358047991534709e-05,-9.1294391637720528e-05
represent,14,0.0001540432960674836,-0.00027864956294011342,1.9775599905338563e-05,-0.00014438186677796837
represent,15,0.00016465358155205652,-8.1298110564978512e-05,9.2637065492074004e-05,-9.2815945049959945e-06
represent,16,0.00026574411564314799,-3.139685524077224e-05,5.7234813505239051e-05,0.0001771124468971367
represent,17,0.00037064652954576398,-0.00019149837412493149,6.2215851837189206e-05,0.00011693230358364329
represent,18,0.00047563449313095063,-0.00023962315865950243,8.0039388368706305e-05,0.00015597194610274191
represent,19,0.00038554866957464241,-4.1542171772141693e-05,0.00013813038672555225,0.00020587611107694844
represent,20,0.00068391752750809594,-0.00012947147601268384,0.00014458360006744243,0.00040986245142796964
represent,21,0.00060935260734051432,-0.00036369934116496232,8.9081755943692554e-05,0.00015657151023185946
represent,22,0.00044855589240522508,-0.00017141413163889385,8.0297378601575174e-05,0.00019684438216475606
represent,23,0.00050198125985607457,-9.0706799410765254e-05,0.00033746873961327297,7.3805720832036343e-05
represent,24,0.00054454500420827794,-0.00043903763471793531,8.8957126249130628e-06,9.661165686542959e-05
represent,25,0.00042915771048890805,-0.00012925454956681977,5.7118815423547882e-05,0.00024278434549854038
represent,26,0.00044372663830001904,-0.00019433117660192536,-0.00015264389619138553,0.00040203935788947921
represent,27,0.00050939489111856905,3.9957803739010321e-05,0.00019735968409754985,0.00035199301076002947
represent,28,0.00083247345515830278,0.00024035647197961658,0.00031720223379417444,0.00075562769334374487
represent,29,0.00067518014514558777,0.00047498441558465438,0.0005994545389317287,0.00055071002179851356
represent,30,0.00071106313770865118,0.00019662744106786778,0.00022091513746753461,0.00068677544130898429
represent,31,0.00082378895947423346,0.00042624621312803933,0.00064919431992294108,0.00060084085267933171
represent,32,0.0010114481367287668,0.00017569487769538762,0.00044947451988883082,0.00073766849453532363
represent,33,0.00079758861238179524,0.0001869928252230278,0.00033720675080252822,0.00064737468680229476
represent,34,0.00078572831931203197,-0.00081882504619607433,-0.00044662152878387548,0.00041352480189983318
represent,35,0.00083924320439109784,1.0202115409923109e-05,6.4421923901159732e-05,0.00078502339589986122
code,0,0.00081952418234675724,-0.0027320185836893318,6.4667886876150721e-05,-0.0019771622882187251
code,1,0.00030191103245122614,-0.0030233478769223438,-0.00023112595544646903,-0.002490310889024649
code,2,0.00050777634844948285,-0.0021310891125101176,0.0001997899736268641,-0.0018231027376874988
code,3,0.00013646218436886122,-0.0015656822141546928,0.00016346223664919112,-0.0015926822664350227
code,4,0.00069967085890009514,-0.0023052208695903608,1.6975981724867455e-05,-0.0016225259924151332
code,5,0.0003904008059766712,-0.0025189639209596344,-0.00028338273373918176,-0.0018451803812437814
code,6,0.00057776264475342697,-0.002598195996687409,-0.00011693182073251032,-0.0019035015312014718
code,7,0.0011610341475158622,-0.0028200215181846404,-0.00010294110835250433,-0.0015560462623162739
code,8,0.0011280389022180542,-0.0030136661268859838,-0.00030826478105219112,-0.0015773624436157384
code,9,0.0013300815167723117,-0.0031974452566641979,-0.00065530506381271175,-0.0012120586760791746
code,10,0.0010971005980597844,-0.0026460977533516337,0.00015096064646469515,-0.0016999578017565442
code,11,0.0019628634229835688,-0.0029132082827584573,-0.00012794535477029861,-0.00082239950500458993
code,12,0.0010158211551015463,-0.0030417927137514492,-0.000113634529538896,-0.0019123370291110071
code,13,0.00084867756217854172,-0.0023560124759617797,-0.00016694105144090382,-0.0013403938623423343
code,14,0.0012409708042613165,-0.0020660075438278637,0.00033013361806064772,-0.0011551703576271949
code,15,0.0015137597118512298,-0.0018216358279679041,8.3975828150815687e-05,-0.00039185194426749007
code,16,0.0016040435233427592,-0.0023358803631937965,-0.00040788661484435635,-0.00032395022500668075
code,17,0.0022798217832097605,-0.0021972469817374486,-0.00024622792872183767,0.0003288027301941495
code,18,0.0027983382794452357,-0.0042902070435682071,-0.00097247628321795419,-0.00051939248090501766
code,19,0.0032177302355032023,-0.0031497217275772687,-2.3573432234228101e-05,9.1581940160161829e-05
code,20,0.0050969716277351196,-0.0039458064845392469,0.00043677478674808635,0.00071439035644778673
code,21,0.0036783946160902441,-0.0034728553013297246,-0.00023545731515050393,0.00044099662991102344
code,22,0.0028216369759718335,-0.0031600592513174194,-0.00033262463257215043,-5.7976427734352659e-06
code,23,0.0022140106139321375,-0.0022078588565895246,0.00042321126377703933,-0.00041705950643442652
code,24,0.0017851131092018915,-0.0023179256211998504,0.00023244699278775492,-0.000765259504785714
code,25,0.0020162214107862114,-0.0031824671604291496,-0.00097337856573723202,-0.00019286718390570598
code,26,0.0024044636992614755,-0.002238320559885766,-0.00015389777843944304,0.00032004091781515261
